k method num_movies num_users base test MAE RMSE Recall time matched_only
20 0 3952 6040 u3.base u3.test 0.781792 0.989403 0.999845 201.035 1
20 0 3952 6040 u3.base u3.test 0.781792 0.989403 0.999845 201.585 1
5 1 3952 6040 u3.base u3.test 0.841317 1.06637 0.999845 198.991 1
5 1 3952 6040 u3.base u3.test 0.841317 1.06637 0.999845 200.243 1
5 1 3952 6040 u3.base u3.test 0.841317 1.06637 0.999845 200.359 1
10 1 3952 6040 u3.base u3.test 0.805775 1.0175 0.999845 200.591 1
10 1 3952 6040 u3.base u3.test 0.805775 1.0175 0.999845 201.234 1
10 1 3952 6040 u3.base u3.test 0.805775 1.0175 0.999845 201.406 1
20 1 3952 6040 u3.base u3.test 0.786655 0.992547 0.999845 210.411 1
20 1 3952 6040 u3.base u3.test 0.786655 0.992547 0.999845 210.434 1
20 1 3952 6040 u3.base u3.test 0.786655 0.992547 0.999845 210.711 1
5 2 3952 6040 u3.base u3.test 0.834087 1.05682 0.999845 192.782 1
5 2 3952 6040 u3.base u3.test 0.834087 1.05682 0.999845 193.485 1
5 2 3952 6040 u3.base u3.test 0.834087 1.05682 0.999845 194.395 1
10 2 3952 6040 u3.base u3.test 0.797861 1.00811 0.999845 197.038 1
10 2 3952 6040 u3.base u3.test 0.797861 1.00811 0.999845 197.039 1
10 2 3952 6040 u3.base u3.test 0.797861 1.00811 0.999845 197.821 1
20 2 3952 6040 u3.base u3.test 0.778875 0.983236 0.999845 197.099 1
20 2 3952 6040 u3.base u3.test 0.778875 0.983236 0.999845 197.504 1
20 2 3952 6040 u3.base u3.test 0.778875 0.983236 0.999845 197.780 1
5 3 3952 6040 u3.base u3.test 0.837178 1.06159 0.999845 202.518 1
5 3 3952 6040 u3.base u3.test 0.837178 1.06159 0.999845 202.864 1
5 3 3952 6040 u3.base u3.test 0.837178 1.06159 0.999845 204.290 1
10 3 3952 6040 u3.base u3.test 0.800994 1.01339 0.999845 200.882 1
10 3 3952 6040 u3.base u3.test 0.800994 1.01339 0.999845 201.421 1
