k method num_movies num_users base test MAE RMSE Recall time matched_only
20 0 1682 1000 u3.base u3.test 0.774827 1.01726 0.95855 0.561 0
20 0 1682 1000 u3.base u3.test 0.774827 1.01726 0.95855 0.582 0
5 1 1682 1000 u3.base u3.test 0.223818 0.630454 0.22575 0.482 0
5 1 1682 1000 u3.base u3.test 0.223818 0.630454 0.22575 0.500 0
5 1 1682 1000 u3.base u3.test 0.223818 0.630454 0.22575 0.480 0
10 1 1682 1000 u3.base u3.test 0.322498 0.73726 0.332 0.463 0
10 1 1682 1000 u3.base u3.test 0.322498 0.73726 0.332 0.477 0
10 1 1682 1000 u3.base u3.test 0.322498 0.73726 0.332 0.489 0
20 1 1682 1000 u3.base u3.test 0.41699 0.823134 0.4354 0.480 0
20 1 1682 1000 u3.base u3.test 0.41699 0.823134 0.4354 0.449 0
20 1 1682 1000 u3.base u3.test 0.41699 0.823134 0.4354 0.526 0
5 2 1682 1000 u3.base u3.test 0.245748 0.660675 0.23125 0.500 0
5 2 1682 1000 u3.base u3.test 0.245748 0.660675 0.23125 0.512 0
5 2 1682 1000 u3.base u3.test 0.245748 0.660675 0.23125 0.458 0
10 2 1682 1000 u3.base u3.test 0.344621 0.765581 0.3319 0.462 0
10 2 1682 1000 u3.base u3.test 0.344621 0.765581 0.3319 0.450 0
10 2 1682 1000 u3.base u3.test 0.344621 0.765581 0.3319 0.454 0
20 2 1682 1000 u3.base u3.test 0.432336 0.840728 0.4276 0.475 0
20 2 1682 1000 u3.base u3.test 0.432336 0.840728 0.4276 0.455 0
20 2 1682 1000 u3.base u3.test 0.432336 0.840728 0.4276 0.490 0
5 3 1682 1000 u3.base u3.test 0.677075 0.994138 0.79645 0.487 0
5 3 1682 1000 u3.base u3.test 0.677075 0.994138 0.79645 0.506 0
5 3 1682 1000 u3.base u3.test 0.677075 0.994138 0.79645 0.495 0
10 3 1682 1000 u3.base u3.test 0.736511 1.01149 0.8898 0.503 0
10 3 1682 1000 u3.base u3.test 0.736511 1.01149 0.8898 0.505 0
10 3 1682 1000 u3.base u3.test 0.736511 1.01149 0.8898 0.534 0
20 3 1682 1000 u3.base u3.test 0.764672 1.01441 0.94415 0.567 0
20 3 1682 1000 u3.base u3.test 0.764672 1.01441 0.94415 0.504 0
20 3 1682 1000 u3.base u3.test 0.764672 1.01441 0.94415 0.525 0
5 0 1682 1000 u4.base u4.test 0.714838 1.0278 0.83245 0.481 0
5 0 1682 1000 u4.base u4.test 0.714838 1.0278 0.83245 0.469 0
5 0 1682 1000 u4.base u4.test 0.714838 1.0278 0.83245 0.505 0
10 0 1682 1000 u4.base u4.test 0.757529 1.02412 0.9115 0.509 0
10 0 1682 1000 u4.base u4.test 0.757529 1.02412 0.9115 0.462 0
10 0 1682 1000 u4.base u4.test 0.757529 1.02412 0.9115 0.480 0
20 0 1682 1000 u4.base u4.test 0.780124 1.0211 0.9576 0.576 0
20 0 1682 1000 u4.base u4.test 0.780124 1.0211 0.9576 0.548 0
20 0 1682 1000 u4.base u4.test 0.780124 1.0211 0.9576 0.558 0
5 1 1682 1000 u4.base u4.test 0.196209 0.569945 0.2123 0.493 0
5 1 1682 1000 u4.base u4.test 0.196209 0.569945 0.2123 0.474 0
5 1 1682 1000 u4.base u4.test 0.196209 0.569945 0.2123 0.461 0
10 1 1682 1000 u4.base u4.test 0.27655 0.663129 0.3041 0.466 0
10 1 1682 1000 u4.base u4.test 0.27655 0.663129 0.3041 0.488 0
10 1 1682 1000 u4.base u4.test 0.27655 0.663129 0.3041 0.465 0
20 1 1682 1000 u4.base u4.test 0.377766 0.77344 0.4096 0.513 0
20 1 1682 1000 u4.base u4.test 0.377766 0.77344 0.4096 0.453 0
20 1 1682 1000 u4.base u4.test 0.377766 0.77344 0.4096 0.465 0
5 2 1682 1000 u4.base u4.test 0.221964 0.617351 0.21625 0.484 0
5 2 1682 1000 u4.base u4.test 0.221964 0.617351 0.21625 0.490 0
5 2 1682 1000 u4.base u4.test 0.221964 0.617351 0.21625 0.449 0
10 2 1682 1000 u4.base u4.test 0.305898 0.701901 0.31485 0.461 0
10 2 1682 1000 u4.base u4.test 0.305898 0.701901 0.31485 0.482 0
10 2 1682 1000 u4.base u4.test 0.305898 0.701901 0.31485 0.443 0
20 2 1682 1000 u4.base u4.test 0.40614 0.807429 0.4161 0.480 0
20 2 1682 1000 u4.base u4.test 0.40614 0.807429 0.4161 0.502 0
20 2 1682 1000 u4.base u4.test 0.40614 0.807429 0.4161 0.485 0
5 3 1682 1000 u4.base u4.test 0.672811 0.997464 0.78785 0.488 0
5 3 1682 1000 u4.base u4.test 0.672811 0.997464 0.78785 0.487 0
5 3 1682 1000 u4.base u4.test 0.672811 0.997464 0.78785 0.470 0
10 3 1682 1000 u4.base u4.test 0.736988 1.01451 0.886 0.592 0
10 3 1682 1000 u4.base u4.test 0.736988 1.01451 0.886 0.550 0
10 3 1682 1000 u4.base u4.test 0.736988 1.01451 0.886 0.543 0
20 3 1682 1000 u4.base u4.test 0.766878 1.01357 0.9426 0.608 0
20 3 1682 1000 u4.base u4.test 0.766878 1.01357 0.9426 0.621 0
20 3 1682 1000 u4.base u4.test 0.766878 1.01357 0.9426 0.641 0
5 0 1682 1000 u5.base u5.test 0.709086 1.01304 0.83835 0.557 0
5 0 1682 1000 u5.base u5.test 0.709086 1.01304 0.83835 0.563 0
