k method num_movies num_users base test MAE RMSE Recall time matched_only
20 0 3952 6040 u3.base u3.test 0.752601 0.977176 0.964192 21.267 0
20 0 3952 6040 u3.base u3.test 0.752601 0.977176 0.964192 21.736 0
5 1 3952 6040 u3.base u3.test 0.38724 0.75565 0.470813 20.901 0
5 1 3952 6040 u3.base u3.test 0.38724 0.75565 0.470813 21.175 0
5 1 3952 6040 u3.base u3.test 0.38724 0.75565 0.470813 21.652 0
10 1 3952 6040 u3.base u3.test 0.479625 0.826642 0.588014 20.859 0
10 1 3952 6040 u3.base u3.test 0.479625 0.826642 0.588014 21.066 0
10 1 3952 6040 u3.base u3.test 0.479625 0.826642 0.588014 21.370 0
20 1 3952 6040 u3.base u3.test 0.560437 0.880964 0.694033 21.299 0
20 1 3952 6040 u3.base u3.test 0.560437 0.880964 0.694033 21.492 0
20 1 3952 6040 u3.base u3.test 0.560437 0.880964 0.694033 21.578 0
5 2 3952 6040 u3.base u3.test 0.508532 0.889812 0.549857 21.530 0
5 2 3952 6040 u3.base u3.test 0.508532 0.889812 0.549857 21.608 0
5 2 3952 6040 u3.base u3.test 0.508532 0.889812 0.549857 21.706 0
10 2 3952 6040 u3.base u3.test 0.595222 0.940756 0.663204 20.943 0
10 2 3952 6040 u3.base u3.test 0.595222 0.940756 0.663204 20.969 0
10 2 3952 6040 u3.base u3.test 0.595222 0.940756 0.663204 21.307 0
20 2 3952 6040 u3.base u3.test 0.660181 0.96913 0.75809 20.867 0
20 2 3952 6040 u3.base u3.test 0.660181 0.96913 0.75809 21.080 0
20 2 3952 6040 u3.base u3.test 0.660181 0.96913 0.75809 21.220 0
5 3 3952 6040 u3.base u3.test 0.700217 0.997124 0.838628 22.276 0
5 3 3952 6040 u3.base u3.test 0.700217 0.997124 0.838628 22.457 0
5 3 3952 6040 u3.base u3.test 0.700217 0.997124 0.838628 22.641 0
10 3 3952 6040 u3.base u3.test 0.730946 0.987805 0.910198 21.979 0
10 3 3952 6040 u3.base u3.test 0.730946 0.987805 0.910198 22.058 0
10 3 3952 6040 u3.base u3.test 0.730946 0.987805 0.910198 22.244 0
20 3 3952 6040 u3.base u3.test 0.744817 0.975677 0.952715 22.115 0
20 3 3952 6040 u3.base u3.test 0.744817 0.975677 0.952715 22.299 0
20 3 3952 6040 u3.base u3.test 0.744817 0.975677 0.952715 22.429 0
5 0 3952 6040 u4.base u4.test 0.731767 1.01256 0.875496 21.044 0
5 0 3952 6040 u4.base u4.test 0.731767 1.01256 0.875496 21.060 0
5 0 3952 6040 u4.base u4.test 0.731767 1.01256 0.875496 21.079 0
10 0 3952 6040 u4.base u4.test 0.750008 0.992421 0.933949 20.432 0
10 0 3952 6040 u4.base u4.test 0.750008 0.992421 0.933949 20.704 0
10 0 3952 6040 u4.base u4.test 0.750008 0.992421 0.933949 20.719 0
20 0 3952 6040 u4.base u4.test 0.756453 0.976509 0.966532 23.471 0
20 0 3952 6040 u4.base u4.test 0.756453 0.976509 0.966532 23.592 0
20 0 3952 6040 u4.base u4.test 0.756453 0.976509 0.966532 23.686 0
5 1 3952 6040 u4.base u4.test 0.399834 0.765094 0.485241 21.839 0
5 1 3952 6040 u4.base u4.test 0.399834 0.765094 0.485241 21.935 0
5 1 3952 6040 u4.base u4.test 0.399834 0.765094 0.485241 21.966 0
10 1 3952 6040 u4.base u4.test 0.481358 0.823814 0.594493 19.965 0
10 1 3952 6040 u4.base u4.test 0.481358 0.823814 0.594493 20.283 0
10 1 3952 6040 u4.base u4.test 0.481358 0.823814 0.594493 20.531 0
20 1 3952 6040 u4.base u4.test 0.558572 0.876492 0.694798 20.630 0
20 1 3952 6040 u4.base u4.test 0.558572 0.876492 0.694798 20.762 0
20 1 3952 6040 u4.base u4.test 0.558572 0.876492 0.694798 20.789 0
5 2 3952 6040 u4.base u4.test 0.545873 0.931044 0.574162 20.155 0
5 2 3952 6040 u4.base u4.test 0.545873 0.931044 0.574162 20.279 0
5 2 3952 6040 u4.base u4.test 0.545873 0.931044 0.574162 20.279 0
10 2 3952 6040 u4.base u4.test 0.616348 0.96191 0.675821 19.784 0
10 2 3952 6040 u4.base u4.test 0.616348 0.96191 0.675821 19.856 0
10 2 3952 6040 u4.base u4.test 0.616348 0.96191 0.675821 19.953 0
20 2 3952 6040 u4.base u4.test 0.673313 0.983736 0.761429 20.277 0
20 2 3952 6040 u4.base u4.test 0.673313 0.983736 0.761429 20.332 0
20 2 3952 6040 u4.base u4.test 0.673313 0.983736 0.761429 20.868 0
5 3 3952 6040 u4.base u4.test 0.7043 0.998359 0.841023 20.198 0
5 3 3952 6040 u4.base u4.test 0.7043 0.998359 0.841023 20.216 0
5 3 3952 6040 u4.base u4.test 0.7043 0.998359 0.841023 20.400 0
10 3 3952 6040 u4.base u4.test 0.735761 0.98893 0.912603 20.944 0
10 3 3952 6040 u4.base u4.test 0.735761 0.98893 0.912603 20.945 0
10 3 3952 6040 u4.base u4.test 0.735761 0.98893 0.912603 20.984 0
20 3 3952 6040 u4.base u4.test 0.749945 0.976659 0.954399 20.739 0
20 3 3952 6040 u4.base u4.test 0.749945 0.976659 0.954399 20.924 0
20 3 3952 6040 u4.base u4.test 0.749945 0.976659 0.954399 21.124 0
5 0 3952 6040 u5.base u5.test 0.717942 1.00475 0.86802 21.279 0
5 0 3952 6040 u5.base u5.test 0.717942 1.00475 0.86802 21.510 0
5 0 3952 6040 u5.base u5.test 0.717942 1.00475 0.86802 21.741 0
10 0 3952 6040 u5.base u5.test 0.746145 0.995609 0.930626 21.061 0
10 0 3952 6040 u5.base u5.test 0.746145 0.995609 0.930626 21.435 0
10 0 3952 6040 u5.base u5.test 0.746145 0.995609 0.930626 21.654 0
20 0 3952 6040 u5.base u5.test 0.7547 0.981218 0.964708 23.897 0
20 0 3952 6040 u5.base u5.test 0.7547 0.981218 0.964708 23.986 0
20 0 3952 6040 u5.base u5.test 0.7547 0.981218 0.964708 24.037 0
5 1 3952 6040 u5.base u5.test 0.361858 0.730082 0.442945 23.956 0
5 1 3952 6040 u5.base u5.test 0.361858 0.730082 0.442945 23.956 0
5 1 3952 6040 u5.base u5.test 0.361858 0.730082 0.442945 23.963 0
10 1 3952 6040 u5.base u5.test 0.448754 0.802103 0.552246 23.737 0
10 1 3952 6040 u5.base u5.test 0.448754 0.802103 0.552246 23.760 0
10 1 3952 6040 u5.base u5.test 0.448754 0.802103 0.552246 23.908 0
20 1 3952 6040 u5.base u5.test 0.53388 0.865363 0.659877 21.357 0
20 1 3952 6040 u5.base u5.test 0.53388 0.865363 0.659877 21.374 0
20 1 3952 6040 u5.base u5.test 0.53388 0.865363 0.659877 21.580 0
5 2 3952 6040 u5.base u5.test 0.481769 0.87655 0.514574 21.231 0
5 2 3952 6040 u5.base u5.test 0.481769 0.87655 0.514574 21.311 0
5 2 3952 6040 u5.base u5.test 0.481769 0.87655 0.514574 21.465 0
10 2 3952 6040 u5.base u5.test 0.568728 0.927702 0.626939 21.618 0
10 2 3952 6040 u5.base u5.test 0.568728 0.927702 0.626939 21.801 0
10 2 3952 6040 u5.base u5.test 0.568728 0.927702 0.626939 21.816 0
20 2 3952 6040 u5.base u5.test 0.636998 0.95949 0.723777 21.528 0
20 2 3952 6040 u5.base u5.test 0.636998 0.95949 0.723777 21.596 0
20 2 3952 6040 u5.base u5.test 0.636998 0.95949 0.723777 21.804 0
5 3 3952 6040 u5.base u5.test 0.69179 0.989814 0.835112 26.446 0
5 3 3952 6040 u5.base u5.test 0.69179 0.989814 0.835112 26.508 0
5 3 3952 6040 u5.base u5.test 0.69179 0.989814 0.835112 26.529 0
10 3 3952 6040 u5.base u5.test 0.731259 0.990445 0.908476 22.053 0
10 3 3952 6040 u5.base u5.test 0.731259 0.990445 0.908476 22.277 0
10 3 3952 6040 u5.base u5.test 0.731259 0.990445 0.908476 22.293 0
20 3 3952 6040 u5.base u5.test 0.746876 0.97984 0.951706 22.306 0
20 3 3952 6040 u5.base u5.test 0.746876 0.97984 0.951706 22.313 0
20 3 3952 6040 u5.base u5.test 0.746876 0.97984 0.951706 22.388 0
