k method num_movies num_users base test MAE RMSE Recall time matched_only
20 0 1682 1000 u3.base u3.test 0.801651 1.01041 0.9982 5.782 1
20 0 1682 1000 u3.base u3.test 0.801651 1.01041 0.9982 5.938 1
5 1 1682 1000 u3.base u3.test 0.873077 1.09253 0.9982 5.583 1
5 1 1682 1000 u3.base u3.test 0.873077 1.09253 0.9982 5.747 1
5 1 1682 1000 u3.base u3.test 0.873077 1.09253 0.9982 5.940 1
10 1 1682 1000 u3.base u3.test 0.837021 1.04444 0.9982 5.670 1
10 1 1682 1000 u3.base u3.test 0.837021 1.04444 0.9982 5.827 1
10 1 1682 1000 u3.base u3.test 0.837021 1.04444 0.9982 6.009 1
20 1 1682 1000 u3.base u3.test 0.820012 1.02432 0.9982 5.739 1
20 1 1682 1000 u3.base u3.test 0.820012 1.02432 0.9982 5.880 1
20 1 1682 1000 u3.base u3.test 0.820012 1.02432 0.9982 6.044 1
5 2 1682 1000 u3.base u3.test 0.903292 1.11974 0.9982 5.704 1
5 2 1682 1000 u3.base u3.test 0.903292 1.11974 0.9982 5.844 1
5 2 1682 1000 u3.base u3.test 0.903292 1.11974 0.9982 5.985 1
10 2 1682 1000 u3.base u3.test 0.858229 1.06002 0.9982 5.712 1
10 2 1682 1000 u3.base u3.test 0.858229 1.06002 0.9982 5.843 1
10 2 1682 1000 u3.base u3.test 0.858229 1.06002 0.9982 5.979 1
20 2 1682 1000 u3.base u3.test 0.834804 1.03409 0.9982 5.708 1
20 2 1682 1000 u3.base u3.test 0.834804 1.03409 0.9982 5.794 1
20 2 1682 1000 u3.base u3.test 0.834804 1.03409 0.9982 5.933 1
5 3 1682 1000 u3.base u3.test 0.837634 1.06032 0.9982 5.684 1
5 3 1682 1000 u3.base u3.test 0.837634 1.06032 0.9982 5.817 1
5 3 1682 1000 u3.base u3.test 0.837634 1.06032 0.9982 5.875 1
10 3 1682 1000 u3.base u3.test 0.812206 1.02314 0.9982 5.680 1
10 3 1682 1000 u3.base u3.test 0.812206 1.02314 0.9982 5.798 1
10 3 1682 1000 u3.base u3.test 0.812206 1.02314 0.9982 5.962 1
20 3 1682 1000 u3.base u3.test 0.799703 1.00787 0.9982 5.904 1
20 3 1682 1000 u3.base u3.test 0.799703 1.00787 0.9982 6.064 1
20 3 1682 1000 u3.base u3.test 0.799703 1.00787 0.9982 6.095 1
5 0 1682 1000 u4.base u4.test 0.837133 1.05811 0.99865 5.957 1
5 0 1682 1000 u4.base u4.test 0.837133 1.05811 0.99865 6.121 1
5 0 1682 1000 u4.base u4.test 0.837133 1.05811 0.99865 6.134 1
10 0 1682 1000 u4.base u4.test 0.811498 1.02178 0.99865 6.083 1
10 0 1682 1000 u4.base u4.test 0.811498 1.02178 0.99865 6.545 1
10 0 1682 1000 u4.base u4.test 0.811498 1.02178 0.99865 6.740 1
20 0 1682 1000 u4.base u4.test 0.800635 1.00772 0.99865 5.819 1
20 0 1682 1000 u4.base u4.test 0.800635 1.00772 0.99865 5.989 1
20 0 1682 1000 u4.base u4.test 0.800635 1.00772 0.99865 6.091 1
5 1 1682 1000 u4.base u4.test 0.874294 1.0945 0.99865 5.840 1
5 1 1682 1000 u4.base u4.test 0.874294 1.0945 0.99865 5.935 1
5 1 1682 1000 u4.base u4.test 0.874294 1.0945 0.99865 6.061 1
10 1 1682 1000 u4.base u4.test 0.840532 1.04826 0.99865 5.896 1
10 1 1682 1000 u4.base u4.test 0.840532 1.04826 0.99865 5.967 1
10 1 1682 1000 u4.base u4.test 0.840532 1.04826 0.99865 6.921 1
20 1 1682 1000 u4.base u4.test 0.821403 1.02456 0.99865 5.858 1
20 1 1682 1000 u4.base u4.test 0.821403 1.02456 0.99865 6.160 1
20 1 1682 1000 u4.base u4.test 0.821403 1.02456 0.99865 6.563 1
5 2 1682 1000 u4.base u4.test 0.906958 1.12413 0.99865 5.776 1
5 2 1682 1000 u4.base u4.test 0.906958 1.12413 0.99865 5.853 1
5 2 1682 1000 u4.base u4.test 0.906958 1.12413 0.99865 6.007 1
10 2 1682 1000 u4.base u4.test 0.860179 1.06464 0.99865 6.070 1
10 2 1682 1000 u4.base u4.test 0.860179 1.06464 0.99865 6.564 1
10 2 1682 1000 u4.base u4.test 0.860179 1.06464 0.99865 6.805 1
20 2 1682 1000 u4.base u4.test 0.834941 1.03378 0.99865 5.954 1
20 2 1682 1000 u4.base u4.test 0.834941 1.03378 0.99865 5.976 1
20 2 1682 1000 u4.base u4.test 0.834941 1.03378 0.99865 6.113 1
5 3 1682 1000 u4.base u4.test 0.837053 1.05694 0.99865 5.861 1
5 3 1682 1000 u4.base u4.test 0.837053 1.05694 0.99865 6.612 1
5 3 1682 1000 u4.base u4.test 0.837053 1.05694 0.99865 6.806 1
10 3 1682 1000 u4.base u4.test 0.810287 1.01945 0.99865 5.887 1
